title,platform,date,user_score,link,developers,genres
Nintendo 3DS Internet Browser,3DS,27-Mar-11,,/game/3ds/nintendo-3ds-internet-browser,['Nintendo'],"['Miscellaneous', 'Application']"
Pokemon Black Version,DS,6-Mar-11,7.6,/game/ds/pokemon-black-version,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Pokemon White Version,DS,6-Mar-11,7.7,/game/ds/pokemon-white-version,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Dragon Quest VI: Realms of Revelation,DS,14-Feb-11,8.4,/game/ds/dragon-quest-vi-realms-of-revelation,['ArtePiazza'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
Mario Sports Mix,WII,7-Feb-11,7.8,/game/wii/mario-sports-mix,['Square Enix'],"['Sports', 'General', 'General']"
Disaster: Day of Crisis,WII,TBA,8.8,/game/wii/disaster-day-of-crisis,['Monolith Soft'],"['Action', 'General']"
Another Code R: A Journey into Lost Memories,WII,TBA,7.8,/game/wii/another-code-r-a-journey-into-lost-memories,['Cing'],"['Adventure', 'General']"
Fluidity,WII,TBA 2010,,/game/wii/fluidity,['Curve Studios'],"['Action', 'Platformer', 'Platformer', '2D', '3D', '2D']"
Mario Party 2,WII,20-Dec-10,8.7,/game/wii/mario-party-2,['Hudson'],"['Miscellaneous', 'Party']"
Super Mario All-Stars: 25th Anniversary Edition,WII,12-Dec-10,7.7,/game/wii/super-mario-all-stars-25th-anniversary-edition,['Nintendo'],"['Miscellaneous', 'Compilation', 'Compilation']"
Fluidity,WII,6-Dec-10,7.8,/game/wii/fluidity,['Curve Studios'],"['Action', 'Platformer', 'Platformer', '2D', '3D', '2D']"
Golden Sun: Dark Dawn,DS,29-Nov-10,8.2,/game/ds/golden-sun-dark-dawn,['Camelot Software Planning'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
Snowpack Park,WII,22-Nov-10,,/game/wii/snowpack-park,['Skip Ltd.'],"['Simulation', 'General', 'General']"
Donkey Kong Country Returns,WII,21-Nov-10,8.6,/game/wii/donkey-kong-country-returns,['Retro Studios'],"['Action', 'Adventure', 'General', 'Platformer', 'Platformer', '2D', '2D']"
Mario vs. Donkey Kong: Mini-Land Mayhem,DS,14-Nov-10,8,/game/ds/mario-vs-donkey-kong-mini-land-mayhem,"['Nintendo', ' Nintendo Software Technology']","['Action', 'Platformer', 'Platformer', '2D', '2D']"
FlingSmash,WII,7-Nov-10,7.3,/game/wii/flingsmash,['Artoon'],"['Action', 'General', 'General']"
PokePark Wii: Pikachu's Adventure,WII,2-Nov-10,7.5,/game/wii/pokepark-wii-pikachus-adventure,['Creatures Inc.'],"['Action Adventure', 'Adventure', 'General', 'Fantasy', 'General', 'Fantasy']"
Art Academy,DS,26-Oct-10,8,/game/ds/art-academy,['Headstrong Games'],"['Miscellaneous', 'Edutainment', 'Edutainment']"
ThruSpace,WII,18-Oct-10,8.7,/game/wii/thruspace,['Keys Factory'],"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Puzzle', 'Action']"
Snapdots,DS,18-Oct-10,,/game/ds/snapdots,['D4 Enterprise'],"['Miscellaneous', 'Puzzle', 'Action', 'Puzzle', 'Puzzle', 'Action']"
Kirby's Epic Yarn,WII,17-Oct-10,8.5,/game/wii/kirbys-epic-yarn,['Good-Feel'],"['Adventure', 'General', 'Action', 'Platformer', 'Platformer', '2D', '2D']"
Pokemon Ranger: Guardian Signs,DS,4-Oct-10,8.1,/game/ds/pokemon-ranger-guardian-signs,['Creatures Inc.'],"['Role-Playing', 'General', 'General']"
Wii Party,WII,3-Oct-10,7.9,/game/wii/wii-party,['Nd Cube'],"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
Samurai Warriors 3,WII,28-Sep-10,7.4,/game/wii/samurai-warriors-3,['Omega Force'],"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '3D']"
Nintendo Countdown Calendar,DS,20-Sep-10,,/game/ds/nintendo-countdown-calendar,['Intelligent Systems'],"['Miscellaneous', 'General', 'General']"
Professor Layton and the Unwound Future,DS,12-Sep-10,8.8,/game/ds/professor-layton-and-the-unwound-future,['Level 5'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Metroid: Other M,WII,31-Aug-10,6.7,/game/wii/metroid-other-m,['Team Ninja'],"['Action', 'Action Adventure', 'Shooter', 'Sci-Fi', 'Sci-Fi', 'General', 'Third-Person', 'Sci-Fi']"
Face Pilot: Fly With Your Nintendo DSi Camera!,DS,26-Jul-10,,/game/ds/face-pilot-fly-with-your-nintendo-dsi-camera!,['HAL Labs'],"['Simulation', 'General', 'General']"
AquaSpace,WII,19-Jul-10,6.8,/game/wii/aquaspace,['Paon Corporation'],"['Miscellaneous', 'General', 'General']"
Dragon Quest IX: Sentinels of the Starry Skies,DS,11-Jul-10,8.6,/game/ds/dragon-quest-ix-sentinels-of-the-starry-skies,['Level 5'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
Mario Tennis,WII,28-Jun-10,,/game/wii/mario-tennis,['Camelot Software Planning'],"['Sports', 'Traditional', 'Tennis']"
Sin & Punishment: Star Successor,WII,27-Jun-10,8.5,/game/wii/sin-punishment-star-successor,['Treasure'],"['Action', 'General', 'Shooter', 'Shooter', 'Rail', 'Rail']"
Art Style: Rotozoa,WII,21-Jun-10,,/game/wii/art-style-rotozoa,['Skip Ltd.'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Spin Six,DS,21-Jun-10,,/game/ds/spin-six,['Zener Works'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'Puzzle', 'Matching', 'Matching']"
100 Classic Books,DS,14-Jun-10,6.2,/game/ds/100-classic-books,['Genius Sonority Inc.'],"['Miscellaneous', 'General', 'Application']"
A Kappa's Trail,DS,14-Jun-10,7.8,/game/ds/a-kappas-trail,['Brownie Brown'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
Flametail,DS,7-Jun-10,,/game/ds/flametail,['Mindware'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
X-Scape,DS,31-May-10,7,/game/ds/x-scape,['Q-Games'],"['Simulation', 'Action Adventure', 'Sci-Fi', 'Sci-Fi', 'General', 'Space', 'Combat']"
Phoenix Wright: Ace Attorney Episode 5: Rise From the Ashes,WII,25-May-10,8,/game/wii/phoenix-wright-ace-attorney-episode-5-rise-from-the-ashes,['Capcom'],"['Adventure', 'First-Person', 'Modern']"
Art Style: light trax,WII,24-May-10,,/game/wii/art-style-light-trax,['Skip Ltd.'],"['Miscellaneous', 'General', 'General']"
Metal Torrent,DS,24-May-10,9.7,/game/ds/metal-torrent,['Arika'],"['Action', 'Shooter', 'Shooter', 'Scrolling', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']"
Super Mario Galaxy 2,WII,23-May-10,9.1,/game/wii/super-mario-galaxy-2,['Nintendo EAD Tokyo '],"['Action', 'Platformer', 'Platformer', '3D', '3D']"
Kirby Super Star,WII,17-May-10,8.3,/game/wii/kirby-super-star,['Hal'],"['Action', 'Platformer', '2D']"
Looksley's Line Up,DS,17-May-10,,/game/ds/looksleys-line-up,['Good-Feel'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'Hidden Object', 'General', 'Puzzle', 'General']"
Photo Dojo,DS,10-May-10,7.2,/game/ds/photo-dojo,['Nintendo'],"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D']"
Picross 3D,DS,3-May-10,8.1,/game/ds/picross-3d,['HAL Labs'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'Puzzle', 'Logic', 'Logic']"
Game & Watch: Flagman,DS,19-Apr-10,,/game/ds/game-watch-flagman,['Nintendo'],"['Action', 'General', 'General']"
Game & Watch: Ball,DS,19-Apr-10,,/game/ds/game-watch-ball,['Nintendo'],"['Action', 'General', 'General', 'Arcade']"
Game & Watch: Donkey Kong Jr.,DS,19-Apr-10,8,/game/ds/game-watch-donkey-kong-jr,['Nintendo'],"['Action', 'General', 'General']"
Game & Watch: Vermin,DS,5-Apr-10,,/game/ds/game-watch-vermin,['Nintendo'],"['Action', 'Miscellaneous', 'Trivia / Game Show', 'Trivia / Game Show', 'Arcade']"
Game & Watch: Helmet,DS,5-Apr-10,,/game/ds/game-watch-helmet,['Nintendo'],"['Action', 'General', 'General']"
Game & Watch: Manhole,DS,5-Apr-10,,/game/ds/game-watch-manhole,['Nintendo'],"['Action', 'General', 'General']"
Grill-Off with Ultra Hand!,WII,31-Mar-10,,/game/wii/grill-off-with-ultra-hand!,['Nintendo'],"['Action', 'General', 'General']"
Game & Watch Collection 2,DS,31-Mar-10,,/game/ds/game-watch-collection-2,['Nintendo'],"['Miscellaneous', 'Compilation', 'Compilation']"
WarioWare D.I.Y. Showcase,WII,29-Mar-10,8.4,/game/wii/warioware-diy-showcase,['Intelligent Systems'],"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
Nintendo DSi Metronome,DS,29-Mar-10,8,/game/ds/nintendo-dsi-metronome,['Nintendo'],"['Miscellaneous', 'General', 'General']"
Nintendo DSi Instrument Tuner,DS,29-Mar-10,,/game/ds/nintendo-dsi-instrument-tuner,['Nintendo'],"['Miscellaneous', 'General', 'General']"
WarioWare D.I.Y.,DS,28-Mar-10,8.2,/game/ds/warioware-diy,['Intelligent Systems'],"['Miscellaneous', 'General', 'General']"
America's Test Kitchen: Let's Get Cooking,WII,28-Mar-10,,/game/wii/americas-test-kitchen-lets-get-cooking,,"['Miscellaneous', 'General']"
America's Test Kitchen: Let's Get Cooking,DS,28-Mar-10,6.3,/game/ds/americas-test-kitchen-lets-get-cooking,['indieszero'],"['Miscellaneous', 'General', 'General']"
Game & Watch: Judge,DS,22-Mar-10,,/game/ds/game-watch-judge,['Nintendo'],"['Action', 'General', 'General']"
Game & Watch: Chef,DS,22-Mar-10,,/game/ds/game-watch-chef,['Nintendo'],"['Action', 'General', 'General']"
Game & Watch: Mario's Cement Factory,DS,22-Mar-10,,/game/ds/game-watch-marios-cement-factory,['Nintendo'],"['Action', 'General', 'General']"
Pokemon HeartGold Version,DS,14-Mar-10,9.1,/game/ds/pokemon-heartgold-version,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Pokemon SoulSilver Version,DS,14-Mar-10,9.2,/game/ds/pokemon-soulsilver-version,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
Endless Ocean: Blue World,WII,22-Feb-10,8.8,/game/wii/endless-ocean-blue-world,['Arika'],"['Adventure', 'General', 'General', '3D', 'Third-Person']"
